Unnamed: 0;LONGITUDE;LATITUDE;Climatologia-Mensal;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;mai/01;DESVIO DE MAIO/2001
0;-37,938;-9,262; Água Branca;47,7;48,3;72,7;57,6;63,1;71,1;75,3;38,8;19,9;15,3;16,7;33,9;4,3;-58,8
1;-36,3078;-9,68489; Anadia;43,6;56,2;85,1;136,7;169,3;200,9;183,7;116,4;66,1;42,2;25,7;28,6;32,3;-137,0
2;-36,6615;-9,75487; Arapiraca;37,1;41,4;62,5;97,9;132,0;144,7;133,8;83,6;47,1;33,2;19,2;23,5;22,1;-109,9
3;-36,0086;-9,5119; Atalaia;56,2;69,6;103,4;163,1;199,2;240,1;226,1;145,5;80,4;50,6;33,9;33,0;35,1;-164,1
4;-35,5101;-9,4023; Barra de Santo Antônio;69,2;84,6;127,6;189,8;232,1;260,6;247,5;161,3;88,8;59,6;43,5;38,6;33,4;-198,7
5;-35,9057;-9,83842; Barra de São Miguel;62,4;74,1;111,6;184,1;222,9;259,8;241,6;150,6;87,6;57,1;39,0;36,7;43,4;-179,5
6;-37,133;-9,6742; Batalha;39,1;38,1;57,9;67,2;93,4;102,4;97,1;57,5;32,0;22,3;16,7;21,6;11,3;-82,1
7;-36,4904;-9,57047; Belém;40,0;49,0;72,1;111,4;140,0;171,1;157,9;101,5;56,1;34,4;20,6;26,4;21,0;-119,0
8;-37,277;-9,82272; Belo Monte;40,1;35,8;57,2;64,9;89,8;96,3;92,3;54,9;31,6;22,0;17,3;20,5;14,2;-75,6
9;-36,2125;-9,64308; Boca da Mata;47,8;61,6;93,5;148,1;179,7;217,8;199,1;125,8;71,8;45,4;28,5;30,2;34,6;-145,1
10;-36,0162;-9,23342; Branquinha;55,6;66,5;97,8;146,6;184,5;227,2;219,9;149,8;75,3;46,2;31,6;32,5;25,3;-159,2
11;-36,9911;-9,40121; Cacimbinhas;39,5;44,3;60,9;74,4;97,0;109,5;104,6;64,3;33,4;22,7;16,3;26,1;7,7;-89,3
12;-36,1559;-9,3994; Cajueiro;49,9;64,2;93,5;139,3;171,7;218,4;208,1;139,1;72,6;42,8;28,5;29,9;25,6;-146,1
13;-35,5685;-8,84723; Campestre;75,4;87,9;138,2;173,6;206,8;249,8;241,1;155,4;78,4;49,2;40,2;40,8;28,4;-178,4
14;-36,3525;-9,78451; Campo Alegre;41,4;53,1;81,7;135,1;171,7;192,9;176,5;111,4;63,4;42,5;25,4;27,7;35,4;-136,3
15;-36,7926;-9,95542; Campo Grande;37,9;38,8;60,7;97,0;133,9;136,1;126,1;77,3;46,0;34,7;20,7;21,4;27,8;-106,1
16;-37,5967;-9,11932; Canapi;48,3;52,9;75,5;64,7;71,5;79,8;83,1;46,0;22,5;15,9;18,6;33,0;4,6;-66,9
17;-36,0826;-9,41504; Capela;52,3;66,7;97,6;147,5;182,0;226,8;216,3;143,4;75,7;45,7;30,6;31,0;28,4;-153,6
18;-37,3773;-9,48476; Carneiros;42,0;40,4;58,9;59,1;78,7;87,2;88,1;51,7;27,0;18,3;16,6;25,0;6,1;-72,6
19;-36,2983;-9,2556; Chã Preta;47,9;58,2;85,3;123,7;153,5;199,5;190,0;128,9;66,2;37,5;24,4;29,8;18,9;-134,6
20;-36,5845;-9,63348; Coité do Nóia;37,7;44,3;65,4;101,3;130,9;154,7;141,8;90,0;50,2;32,2;18,9;25,0;19,6;-111,3
21;-35,7214;-8,91806; Colônia Leopoldina;70,2;79,6;125,1;162,6;196,6;238,3;228,4;153,2;76,9;48,7;38,1;37,8;26,1;-170,5
22;-35,7994;-9,63715; Coqueiro Seco;64,1;75,5;113,4;186,9;225,6;264,2;246,2;153,5;89,2;58,0;39,9;37,5;43,3;-182,3
